id,response_to,page,name,content,date
1,,1,黒點,会社にはLaravelのコードは一行もないよ！,2019-02-16 22:02:47 +0900
2,,2,黒點,かなりがんばってます,2019-02-16 22:03:10 +0900
3,,29,黒點,今回のお題をゲームを縛りプレイとして見たときに難易度を易化させるような選択をした、という意味で「日和った」ということです。,2019-02-16 22:06:00 +0900
4,,35,黒點,ここも説明しそこねましたね。Laravel独自のクラスローダとかあります。,2019-02-16 22:07:17 +0900
5,,14,黒點,この不等号は「他者が設計したフレームワークの設計思想を理解して利用する」と「自分で必要十分な機能のフレームワークを作って利用する」ことの難易度の比較ですね。わかりにくい,2019-02-16 22:16:08 +0900
6,,15,黒點,最初にフレームワークを作って実運用に乗せた2015年からPHPの経験値を積んだ、の意味。,2019-02-16 22:17:26 +0900
7,,17,黒點,前日準備の帰り道の電車でのこと,2019-02-16 22:18:09 +0900
8,,18,黒點,竹澤さんたちの本とかね！,2019-02-16 22:18:32 +0900
9,,19,黒點,前日準備の帰り道に駅から降りて歩いてるときのこと,2019-02-16 22:19:11 +0900
10,,36,黒點,yieldはPHPのジェネレータのためのキーワードとして追加されました,2019-02-16 22:20:22 +0900
11,,37,黒點,あと拡張子 .php のスタブファイルもありましたが、そっちは放置,2019-02-16 22:21:20 +0900
12,,0,黒點,びみょーにわかりにくい色で3を隠したつもりだったけど現場でふつーにばればれだった,2019-02-16 22:27:47 +0900
13,,0,黒點,懇親会LTにエントリーした時点でのタイトルは「Laravel...に入門してみる」でした,2019-02-16 22:28:41 +0900
14,,30,黒點,つまり、illuminateはありません,2019-02-17 15:01:59 +0900
15,,34,黒點,高精度な静的解析ツールです,2019-02-17 15:02:28 +0900
16,,46,黒點,ビルトインWebサーバ(php -S)はPHPの組み込み機能なので、Apacheなどを用意しなくてもブラウザからアクセスできる環境が作れます,2019-02-17 15:03:55 +0900
17,,50,黒點,親切ていねい。このお蔭でWeb上から古い情報をひっぱりだしてこなくても情報を辿れました。,2019-02-17 15:05:07 +0900
18,,53,黒點,Request::foundation() で Symfony\HttpFoundation\Request のオブジェクトが得られます,2019-02-17 15:06:15 +0900
