id,response_to,page,name,content,date
1,,73,ゲスト,あ、httpOnly属性つけないのはアーキテクチャによってはありえなくはないのかな。やらない方がいい気がしてるけど。,2017-12-06 20:13:40 +0900
2,,73,ゲスト,セッションはJSでいじる場合もあんまりなさげ,2018-01-11 00:52:30 +0900
